Hate words,Why Hate?,Offensive words,Why offensive?
okpo ntu,Insulting,ile ngaji,Insulting
nwaanyi,Insulting,onye ori,Insulting
ewu,Insulting,onye mgbu,Insulting
ofe mmanụ,Discriminatory/neutral,ike,Insulting
ndi ugwu,Discriminatory/neutral,ụtụrụ gbagbuo gi,Insulting
ndi mụọ,Comparison to animal,onye iberibe,Insulting
ndi ofe mmanụ,discriminatIon based on tribe,ewu,Comparison to animal
onye Juu,discriminatIon based on tribe,nkita,Comparison to animal
onye Kristian,Discriminatory/neutral,ewu awusa,Comparison to animal
onye ala,discriminatIon based on tribe,ewu congo,Comparison to animal
onye nzuzu,discriminatIon based on tribe,anụ ọhia,Comparison to animal
Ndi abụrụ ọnụ,Discrimination based on religion,mkpi,Comparison to animal
ajọ nwa,Discriminatory/neutral,Ezi,Comparison to animal
nwashị,Discriminatory/neutral,otele,Insulting
ọnụ-ụkọ ,Discriminatory/neutral,udele,Comparison to animal
ọnụ-ọgụ ,Discriminatory/neutral,kitikpa gbagbuo gi,Insulting
ndi mgbuka,Discriminatory/neutral,atụrụ,Comparison to animal
ndi ohu,Discriminatory/neutral,agwọ,Comparison to animal
ndị ogbu ọchụ,Discriminatory/neutral,oke,Comparison to animal
ọǹụ ọbara,Discriminatory/neutral,afọ saa gi,Insulting
ndì ajụrụ ajụ,Discriminatory/neutral,onye ekpenta,Insulting
ndị ọgọ mmụọ,Discriminatory/neutral,ofeke,Insulting
ndì ǹwụrụ ańwụ,Discriminatory/neutral,ọgbanje,Insulting
ndị ǹzuzu,Discriminatory/neutral,onye aka ntụtụ,Insulting
ụmụ atụrụ,Discriminatory/neutral,onye aghụghọ,Insulting
ụmụ èzì,Discriminatory/neutral,onye arụrụala,Insulting
ndị arà,Discriminatory/neutral,onye oshi,Insulting
ndị eriri eri,Discriminatory/neutral,ekwensu,Insulting
ndi iti bọlibọ,Discriminatory/neutral,ajọ nwa,Insulting
ụmụ olodo,Discriminatory/neutral,nne gi,Insulting
ndi akpirị,Discriminatory/neutral,nna gi,Insulting
ndi ụsa,Discriminatory/neutral,nnenne gi,Insulting
ndi ogbenye' ,Discriminatory/neutral,nnanna gi,Insulting
ndi ogbi,Discriminatory/neutral,rie nsi,Insulting
ndị asịrị,Discriminatory/neutral,onye ime ezi,Insulting
anụ mpama,Discriminatory/neutral,nkita ara,Comparison to animal
Ewu Lokoja,Discriminatory/neutral,si nga pụọ,Insulting
Dimkpa Benin,Discriminatory/neutral,nnukwu isi,Insulting
onye agwụ,Discriminatory/neutral,isi ewu,Comparison to animal
onye iberibe,discriminatIon based on tribe,isi nkita,Comparison to animal
onye ime obodo,discriminatIon based on tribe,akwụna,Insulting
mma iru abụọ,Discriminatory/neutral,nne gi bụ akwụna,Insulting
ndi ume ngwụ,Discriminatory/neutral,anụ ọfia ka gi mma,Insulting
ndi ngwụrọ,Discriminatory/neutral,onye mgbu,Insulting
ndi ọjọọ,Discriminatory/neutral,ile mgbada,Insulting
amosu odekpe,discriminatIon based on tribe,ishi odo,Insulting
,Discriminatory/neutral,ishi aki,Insulting
,Discriminatory/neutral,olodo,Insulting
,,ụkwụ aziza,Insulting
,,nwa nza,Comparison to animal
,,enwe,Comparison to animal
,,edi,Comparison to animal
,,onukwu,Insulting
,,Yeye,Insulting
,,Efulefu,Insulting
,,anụ nchị,Comparison to animal
,,ntị anụ,Comparison to animal
,,isi nchị,Comparison to animal
,,eze ọgụ,Insulting
,,dimkpa benin,Insulting
,,ọkụkọ,Comparison to animal
,,ọchọngolongo,Insulting
,,ikwikwi,Comparison to animal
,,eleke ntị ọba,Comparison to animal
,,ụtụlụ gbagbuo gi,Insulting
,,osisi kpọrọ nkụ,Insulting
,,nkakwụ,Comparison to animal
,,afọ njọ,Insulting
,,iru njọ,Insulting
,,ajọ nwanyị,Insulting
,,ajọ nwoke,Insulting
,,ajọ nne,Insulting
,,ajọ nna,Insulting
,,ọnụ ọjọọ,Insulting
,,ọnụ kạ nkakwụ,Insulting
,,nkirika àkwà ,Insulting
,,onye ọgwụ,Insulting
,,onye agwụ,Insulting
,,ishi mala,Insulting
,,ishi ọpị,Insulting
,,mumu,Insulting
,,eze ule,Insulting
,,onye ntọli,Insulting
,,ehi,Comparison to animal
,,ekwurekwu,Insulting
,,ishi nkwọcha,Insulting
,,isi aki oyibo,Insulting
,,mbe,Comparison to animal
,,anụmanụ,Comparison to animal
,,mgbada,Comparison to animal
,,nkita ara,Insulting
,,I na eji ka unyi,Insulting
,,isi adirọ gi mma,Comparison to animal
,,udene mmiri mara,Insulting
,,asiri gbakute,Comparison to animal
,,ọzọdimgba,Comparison to animal
,,agaba,Insulting
,,kitikpa,Insulting
,,alụsi,Insulting
,,anikilija,Insulting
,,olongolo,Insulting
,,nti ele,Comparison to animal
,,idi ka ihe eji ariọ arụsị mgbahara,Insulting
,,uche nkita,Insulting
,,akakpọ,Insulting
,,obi okwute,Insulting
,,anya apia,Insulting
,,ozu,Insulting
,,ụkpana,Comparison to animal
,,ọkpa ele,Insulting
,,ụsụ,Comparison to animal
,,amosu,Insulting
,,ebule,Comparison to animal
,,agadi,Insulting
,,onye nka,Insulting
,,ozu nwụrụ anwụ,Insulting
,,mmiri ozu,Insulting
,,ụkwụ ọbọgwụ,Comparison to animal
