Hate words,Why Hate?,Offensive words,Why offensive?
Máláàmù,discrimination based on tribe,obo,insulting
omo ibo,discrimination based on tribe,akata,insulting
omo nna,discrimination based on tribe,òmùgọ̀,insulting
èègùn,discrimination based on tribe,Ọ̀dẹ̀,insulting
ìrankíran,discrimination based on tribe ,Olórí burúkú,insulting
bòròró ,discrimination based on tribe ,Aláyébàjẹ́,insulting
atẹ̀yìntọ̀,discrimination based on gender ,burẹ́wà,insulting
akátá,discrimination based on race ,Olè,insulting
ọ̀kọlà,discrimination based on tribal mark,Ọ̀lẹ,insulting
panyá,discrimination based on race,òpònú,insulting
bìrìtìkó,discrimination based on race ,ayíràdà,insulting
málà,discrimination based on tribe ,oníjẹkújẹ,insulting
àjàṣẹ́,discrimination based on tribe ,wọ̀nbìà,insulting
ìmàle,discrimination based on religion ,wọ̀nbílíkí,insulting
ẹlẹ́bọ,discrimination based on religion ,Asínwín,insulting
kèfèrí,discrimination based on religion ,alápámáṣiṣẹ́,insulting
abọ̀rìṣà,discrimination based on religion ,ewúrẹ́,comparison to animal
àtọ̀wúnrìnwá,discrimination based on tribe ,màlúù,comparison to animal
a-toko-wá-balé-jẹ́,discrimination based on tribe ,Agùnmáníyè,insulting
ọ̀làlá,discrimination against smokers ,fàwọ̀rajà,insulting
onígbó,discrimination against smokers ,onínàbì,insulting
ọ̀mùtí,discrimination against drinkers ,wèrè,insulting
àfín,discrimination against albinos ,ọmọ àlè,insulting
ọlọ́tí,discrimination against drinkers ,elétè jọ̀npà,insulting
ànfàní-àdúgbò ,discrimination against sex workers ,rándú,insulting
abirùn,discrimination against the physically challenged ,nànàmú,insulting 
aṣẹ́wó,discrimination against sex workers ,lákíríboto,insulting 
ọ̀rọ̀bọ̀,discrimination against fat people ,lágídò,comparison to animal 
lẹ̀pa,discrimination against skinny people ,apọ̀dà,insulting 
dóógó,discrimination based on tribe ,aláìnítìjú,insulting 
oníṣìná,discrimination based on lifestyle ,oníṣẹ̀,insulting 
aràrá,discrimination based on height ,oníṣẹ́,insulting 
ọ̀pá,discrimination based on height ,olóṣì,insulting 
kúrúbete,discrimination based on height ,ẹ̀lẹ́dẹ̀,comparison to animal 
ṣánkó,discrimination based on height ,afọ́fun-gbé-mu,insulting 
ọ̀walà,discrimination based on trial marks ,oníbàjẹ́,insulting 
aláìgbàgbọ́,discrimination based on religion ,aṣèbàjẹ́,insulting 
kiriyó,discrimination based on religion ,oníṣekúṣe,insulting 
fòbòjóná,discrimination against sex workers ,aláìda,insulting 
àdògán,discrimination against sex workers ,aṣeburúkú,insulting 
ọ̀dọ́kọ,discrimination against sex workers ,alákadá,insulting 
ìnàkí,discrimination based on tribe ,èṣù,comparison to devil 
àgàtú,discrimination based on tribe ,ajá,comparison to bitch
ará-oko,discrimination based on tribe ,aládànwò,insulting 
adití,discrimination against the deaf ,aláìlọ́pọlọ,insulting 
odi,discrimination against the dumb,alábúkù,insulting 
afọ́jú,discrimination against the blind ,akúdàáyà,insulting 
abukẹ́,discrimination based on physical appearance ,ẹranko ,comparison to animal 
alára-gbígbẹ,discrimination against skinny people ,ẹlẹ́tẹ̀,insulting 
apárí,discrimination of the bald,adójútini,insulting 
àfọ̀njá,discrimination based on tribe ,ọ̀bùn,insulting 
